district_name,district_code,cola_2020_21,cola_2021_22,cola_2022_23,cola_2023_24,salary_avg_2020_21,salary_avg_2021_22,salary_avg_2022_23,upper_left_2020_21,upper_left_2021_22,upper_left_2022_23,lower_right_2020_21,lower_right_2021_22,lower_right_2022_23,total_exp_2021_22,total_exp_2020_21,total_enrollment_2021_22,total_enrollment_2020_21,instructional_services,administration,pupil_services,operations_and_maintenance,insurance_retirement_programs_and_other,disabled_pct,pct_health_insurance_paid,grade_pk,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_sp,years_exp,years_as_super,fy2021_salary,total_comp_pkg,years_current_contract
Framingham,01000000,0.0165,NA,NA,NA,74326,NA,NA,50027,NA,NA,101805,NA,NA,NA,194503804,8824,8733,11178.12456,877.8308212,1927.053825,1136.814205,3222.164832,21.7,NA,195,660,659,794,688,722,723,624,656,627,661,654,554,516,0,4,4,225000,225000,6
Francis W. Parker Charter Essential (District),04780000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7335367.65,386,399,NA,NA,NA,NA,NA,16,NA,0,0,0,0,0,0,0,0,64,75,68,68,66,58,0,NA,NA,NA,NA,NA
Franklin,01010000,0.01,0.01,NA,NA,69684.63,71727.62,NA,46100,47027,NA,97314,99270,NA,NA,88303921.5,4764,4830,9639.164371,331.9996852,1310.223173,1268.86123,2147.399347,18.2,NA,73,265,278,328,329,350,328,348,383,414,414,429,436,449,6,4,4,197657,197657,6
Franklin County Regional Vocational Technical,08180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12752434,583,555,13681.17291,1240.227731,3632.730754,1658.125756,5432.99476,30.5,NA,0,0,0,0,0,0,0,0,0,0,171,147,131,106,0,NA,NA,NA,NA,NA
Freetown-Lakeville,06650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40050857,2756,2702,8092.970203,386.0959316,1362.215192,939.188788,2215.124598,15.9,NA,33,199,214,208,210,200,217,204,229,234,199,194,156,205,0,17,7,165629,165629,3
Frontier,06700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13497052.99,610,649,9504.674622,558.7979221,1888.604895,1681.167105,3660.674362,17.5,NA,0,0,0,0,0,0,0,0,114,126,99,99,102,103,6,2,2,145300,145300,5
Gardner,01030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36106498.82,2251,2211,8501.781751,429.5040082,1352.287881,1037.744974,2792.674583,22.5,NA,56,153,161,145,167,140,177,191,176,205,184,137,151,159,9,5,5,159000,167000,5
Gateway,06720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16657248.89,733,753,10194.93645,822.9037323,2382.322744,1601.095543,3782.373475,21.6,NA,26,46,49,52,72,51,59,77,69,58,49,50,39,53,3,NA,NA,NA,NA,NA
Georgetown,01050000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21872939.68,1276,1218,9365.156934,547.7241756,1414.629764,1212.213228,2447.07325,17.2,NA,17,83,105,104,99,91,96,82,116,88,74,83,91,89,0,17,14,197752,121045,2
Gill-Montague,06740000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22034926.19,845,846,10671.6711,801.328697,1837.928408,1864.148832,4558.355701,24.5,NA,34,55,56,70,75,65,72,71,82,76,49,38,39,58,6,1,1,117000,NA,3
Global Learning Charter Public (District),04960000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8249528,504,503,NA,NA,NA,NA,NA,12.3,NA,0,0,0,0,0,0,89,89,91,90,39,47,34,24,0,NA,NA,NA,NA,NA
Gloucester,01070000,0.02,NA,NA,NA,NA,NA,NA,49158,NA,NA,91248,NA,NA,NA,57451422.83,2833,2766,10594.67932,820.2308337,1273.429035,1623.609923,3481.996111,25.5,0.75,66,224,219,202,199,208,223,206,201,199,258,202,193,159,7,2,1,184000,185000,3
Gosnold,01090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
Grafton,01100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44939039.86,3138,3121,9136.156832,348.9395758,1119.247476,1028.324892,1428.62836,20.1,NA,86,204,247,193,235,238,244,286,246,267,213,234,240,183,5,10,10,NA,183000,2
Granby,01110000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12048438.43,697,716,9277.285056,1225.103924,1166.372614,942.3660303,1942.044766,19,NA,24,47,54,65,52,43,58,45,51,51,49,58,65,54,0,1,1,125000,125000,1
Greenfield Commonwealth Virtual District,39010000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7617579,1030,943,NA,NA,NA,NA,NA,21,NA,0,32,37,40,51,46,48,55,101,109,132,112,87,93,0,7,7,158625,158625,3
Greater Fall River Regional Vocational Technical,08210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28396203,1421,1452,11043.98023,1483.135356,2034.990794,1620.911013,3118.423457,11,NA,0,0,0,0,0,0,0,0,0,0,374,367,359,352,0,NA,14,203000,209900,4
Greater Fall River Regional Vocational Technical,08210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28396203,1421,1452,11043.98023,1483.135356,2034.990794,1620.911013,3118.423457,11,NA,0,0,0,0,0,0,0,0,0,0,374,367,359,352,0,2,2,160000,160000,6
Greater Lawrence Regional Vocational Technical,08230000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36650706.4,1655,1634,12559.09982,1008.389764,2290.335942,2234.999634,4969.830695,16.4,NA,0,0,0,0,0,0,0,0,0,0,420,428,400,386,0,NA,NA,NA,NA,NA
Greater Lowell Regional Vocational Technical,08280000,NA,0.025,0.025,0.025,NA,72908,73267,NA,148807,50028,NA,98018,100468,NA,48445094,2300,2296,12114.50749,697.7101058,2209.19366,2053.770893,3929.12359,17.3,0.75,0,0,0,0,0,0,0,0,0,0,596,584,560,538,18,2,2,185000,185000,3
Greater New Bedford Regional Vocational Technical,08250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45663080.33,2110,2113,12453.88567,713.0297405,1740.678973,3200.170061,3502.738648,10.3,NA,0,0,0,0,0,0,0,0,0,0,567,527,521,498,0,1,1,200000,200000,3
Greenfield,01140000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36478411,1604,1545,9440.064472,989.9821552,1671.950265,1023.16659,3743.52291,19.5,NA,54,121,141,121,130,138,122,119,119,116,95,88,103,78,0,NA,NA,NA,NA,NA
Groton-Dunstable,06730000,NA,0.0125,0.025,0.0275,NA,70889.85,78312.4,NA,48522.38,49735.44,NA,99028.01,101503.71,NA,42080220,2315,2262,10167.8648,456.0684485,1406.826634,1108.241349,3072.949299,16.3,0.72,37,127,155,169,172,175,155,197,172,182,171,168,188,189,5,4,4,195000,200000,3
Hadley,01170000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10923120.58,508,506,9737.476349,906.8249804,2205.850509,1393.603528,2401.521374,13.5,NA,18,36,28,35,26,31,39,35,44,48,50,38,36,42,0,15,7,140296,140296,5
Halifax,01180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9875768.95,564,569,7764.869699,622.3617378,1036.451236,899.231521,1414.150576,17.6,NA,0,67,60,82,99,100,80,81,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Hamilton-Wenham,06750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35421785,1684,1690,10952.54347,528.2197922,1499.957425,1425.850191,2509.755604,19,NA,31,122,122,122,134,122,120,136,127,130,124,129,131,140,0,4,1,189000,191500,3
Hampden Charter School of Science East (District),04990000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7868648.16,554,540,NA,NA,NA,NA,NA,13.5,NA,0,0,0,0,0,0,0,86,85,88,83,87,56,55,0,NA,NA,NA,NA,NA
Hampden Charter School of Science West (District),35160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4273905.1,368,320,NA,NA,NA,NA,NA,16.6,NA,0,0,0,0,0,0,0,54,71,68,59,41,27,0,0,NA,NA,NA,NA,NA
Hampden-Wilbraham,06800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49879189.85,2890,2865,9219.85831,468.746789,1858.875114,1339.896504,2849.420155,15.4,NA,85,156,193,185,189,197,204,196,216,219,261,246,276,242,0,5,5,164000,165000,4
Hampshire,06830000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15231756.94,685,683,11091.27774,485.5055639,2076.52932,1052.167789,3607.574185,23.1,NA,0,0,0,0,0,0,0,0,128,117,101,99,135,98,5,NA,NA,NA,NA,NA
Hancock,01210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1635374.35,57,57,#¡VALOR!,750.0274468,1617.223404,1356.364681,30.9787234,26.3,NA,5,5,9,7,4,9,6,12,0,0,0,0,0,0,0,1,1,40000,40000,2
Hanover,01220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40832752.22,2596,2614,9698.537658,397.070613,1636.35486,1169.29837,1419.421022,18.4,NA,52,192,211,204,176,209,197,212,183,216,182,175,188,212,5,9,8,184500,186500,3
Harvard,01250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22154992.03,1025,1006,12014.98693,637.1657474,1424.66279,1507.159386,3279.697794,11.1,NA,22,47,61,58,78,67,80,77,86,85,85,71,92,97,0,NA,NA,NA,NA,NA
Hatfield,01270000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7082139,391,397,9361.017341,1040,1286.050356,1090.413873,1622.578035,21,NA,12,17,29,33,23,38,27,37,33,35,22,25,41,25,0,1,1,125500,127000,3
Haverhill,01280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128697152.2,7738,7771,8779.258006,345.1939074,1568.512277,1120.039009,2267.406345,23.3,NA,182,472,585,606,651,641,643,705,677,697,533,451,413,482,33,3,3,198000,200500,3
Hawlemont,06850000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2760550.04,123,118,11606.93588,722.0965662,1791.003574,1263.955571,3291.740154,28,NA,13,13,11,13,12,23,16,17,0,0,0,0,0,0,0,6,1,148500,148000,2
Helen Y. Davis Leadership Academy Charter Public (District),04190000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064727,138,193,NA,NA,NA,NA,NA,16.6,NA,0,0,0,0,0,0,0,33,80,80,0,0,0,0,0,NA,NA,NA,NA,NA
Hill View Montessori Charter Public (District),04550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4565108.39,306,303,NA,NA,NA,NA,NA,19.1,NA,0,35,32,33,34,40,34,31,32,32,0,0,0,0,0,NA,NA,NA,NA,NA
Hilltown Cooperative Charter Public (District),04500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3836642.6,217,218,NA,NA,NA,NA,NA,15.1,NA,0,20,20,20,21,22,22,30,31,32,0,0,0,0,0,NA,NA,NA,NA,NA
Hingham,01310000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66240655,3864,3894,10293.27402,426.0948665,1087.050583,1085.088144,1363.768804,13.6,NA,27,215,254,275,292,299,321,298,336,291,306,332,327,317,4,6,2,206000,214000,2
Holbrook,01330000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21894518.35,1286,1268,7965.488442,599.81175699999994,1282.527397,934.1895527,2947.174081,19.2,NA,37,87,110,117,106,116,106,89,101,96,96,78,67,57,5,NA,NA,NA,NA,NA
Holland,01350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3734228,226,194,8829.580969,563.164557,1328.965517,1107.389786,2273.27368,13.8,NA,11,20,18,26,33,29,26,31,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Holliston,01360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45368085.7,2809,2754,10009.24767,498.8844162,957.2363633,956.9720827,1409.284553,16.7,NA,61,176,192,169,213,224,229,227,222,230,194,199,212,201,5,NA,NA,NA,NA,NA
Holyoke,01370000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120192015.6,5102,5153,10617.04122,529.0352117,2364.849284,1564.346613,2661.331064,27.9,NA,266,349,400,379,351,405,353,368,375,341,361,380,378,447,0,6,1,205000,205000,3
Holyoke Community Charter (District),04530000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11198245.68,653,702,NA,NA,NA,NA,NA,19.9,NA,0,57,82,88,77,86,83,85,73,71,0,0,0,0,0,NA,NA,NA,NA,NA
Hoosac Valley Regional,06030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20688745.91,1008,1035,NA,NA,NA,NA,NA,23.9,NA,27,73,90,72,70,80,76,103,107,95,64,58,70,47,3,2,2,128270,145000,3
Hopedale,01380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18970288.54,1114,1099,10087.34222,422.0434257,1295.4200290000001,1040.532528,2782.78525,20.9,NA,80,81,71,66,78,82,78,77,90,90,81,67,84,74,0,4,4,157000,157000,3
Hopkinton,01390000,NA,NA,NA,NA,NA,57300,NA,NA,39675,NA,NA,77582,NA,NA,58501853.19,4006,3932,9523.947646,596.2287784,1239.188233,1148.330978,1838.559437,12.1,0.97,75,270,278,308,272,312,297,303,297,322,260,315,289,327,7,3,3,193725,193725,3
Hudson,01410000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50601612.1,2336,2416,11546.74596,689.2289628,1234.243431,1283.562313,2183.885252,17.6,NA,26,166,184,186,213,197,209,163,200,206,171,182,169,144,0,4,3,176885,176885,3
Hull,01420000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21524466.29,805,802,12369.96407,1165.300105,1847.979408,2160.0936,4477.585118,21.2,NA,31,43,54,54,55,58,57,61,62,65,59,65,65,73,0,1,1,176000,NA,3
Innovation Academy Charter (District),04350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12758632,776,790,NA,NA,NA,NA,NA,21,NA,0,0,0,0,0,0,100,100,102,100,108,98,86,96,0,NA,NA,NA,NA,NA
Ipswich,01440000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32498022.29,1628,1594,12081.22427,621.1163372,1249.364134,1090.727554,2836.059776,18,NA,27,88,97,107,131,115,121,113,122,136,134,123,142,136,2,19,4,183306,NA,3
King Philip,06900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38167895.3,1874,1946,8624.94438,502.4885222,1794.27383,1660.760796,3056.46684,17.1,NA,0,0,0,0,0,0,0,0,385,347,306,269,328,305,6,NA,2,174500,174500,3
Kingston,01450000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17153448.97,1047,1035,7807.378043,379.7081975,1184.229613,1114.27347,1481.026362,18.1,NA,0,134,149,150,150,140,162,150,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
KIPP Academy Boston Charter School (District),04630000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10676360,600,613,NA,NA,NA,NA,NA,16.2,NA,0,65,71,71,72,72,74,71,58,59,0,0,0,0,0,NA,NA,NA,NA,NA
KIPP Academy Lynn Charter (District),04290000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28788516.6,1614,1615,NA,NA,NA,NA,NA,11.5,NA,0,125,124,124,124,125,128,126,124,124,130,126,117,118,0,NA,NA,NA,NA,NA
Lawrence,01490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257881205.1,12786,12842,9467.833033,409.449756,1924.806318,1569.04252,2602.265745,19.5,NA,322,730,951,1012,1016,1044,1074,1071,1135,1109,805,923,804,807,39,NA,NA,NA,NA,NA
Lawrence Family Development Charter (District),04540000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11563961,796,786,NA,NA,NA,NA,NA,8.1,NA,63,81,81,84,84,83,81,77,75,77,0,0,0,0,0,NA,NA,NA,NA,NA
Learning First Charter Public School (District),04860000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,671,665,NA,NA,NA,NA,NA,13.8,NA,0,71,75,75,74,75,81,73,70,71,0,0,0,0,0,NA,NA,NA,NA,NA
Lee,01500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14427343.23,660,683,11475.68413,512.4403795,1316.044483,1340.482811,4096.776922,15.5,NA,12,41,45,49,58,47,48,50,40,53,57,62,57,60,4,7,1,137700,160274,3
Leicester,01510000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23976655.18,1389,1374,8598.696622,483.7024793,1245.205859,1159.85474,2041.649741,18.1,NA,33,80,97,90,117,92,88,96,128,113,112,98,131,99,0,7,4,165656,165656,3
Lenox,01520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15758827.88,722,750,12083.45538,620.3725515,1380.225323,1515.93522,3752.629471,9.2,NA,15,44,47,49,48,52,50,60,62,61,65,66,70,61,0,9,2,135000,135000,1
Leominster,01530000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94308326,5915,5859,8505.255812,327.030572,1211.157711,829.6452789,2870.135124,23.8,NA,75,345,424,429,423,430,448,473,464,460,460,478,471,479,0,3,3,185000,NA,3
Leverett,01540000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2873165.79,144,116,11804.06911,856.5655853,1278.624824,1457.574048,3686.006982,9.5,NA,0,15,14,14,18,17,15,23,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Lexington,01550000,0.0225,0.02,NA,NA,74699,76940,NA,49998,51498,NA,114728,118170,NA,NA,142948834,6790,6901,13143.56545,506.5309207,1912.613977,85.45507488,2715.077371,14,0.5,57,309,408,480,507,532,554,567,601,625,550,599,582,530,0,NA,3,275625,NA,3
Libertas Academy Charter School (District),35140000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4971114.01,332,260,NA,NA,NA,NA,NA,20,NA,0,0,0,0,0,0,0,80,86,94,0,0,0,0,0,NA,NA,NA,NA,NA
Lincoln,01570000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458590.61,1066,1048,16387.01817,1217.482338,1780.063785,2073.995055,3565.857471,17.6,NA,75,91,120,141,110,112,94,106,112,87,0,0,0,0,0,9,9,209690,222652,3
Lincoln-Sudbury,06950000,0.025,0,0.03,0.02,82112,NA,NA,52327,NA,NA,123100,NA,NA,NA,34882541.28,1513,1525,12939.67198,495.8546731,1918.206445,1516.908015,3056.967318,21.7,0.65,0,0,0,0,0,0,0,0,0,0,369,363,406,381,6,NA,NA,NA,NA,NA
Littleton,01580000,0.02,0.02,0.02,NA,69539.94112,70959,72378.30607,44385.18,45291,46196.82,44385.18,101366,103393.32,NA,29653389,1642,1553,9052.277471,668.7020154,998.7254079,1584.140475,2552.808901,14.9,NA,34,95,114,109,134,112,127,136,129,128,117,109,98,108,3,21,10,186000,186000,3
Longmeadow,01590000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45169756.42,2791,2751,9950.499616,524.0095473,932.6073954,1289.444313,2246.623524,18.1,NA,59,148,179,206,197,200,194,207,238,223,223,217,240,220,0,8,5,173529,176529,3
Lowell,01600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254502712.1,13991,14023,9704.49992,370.7929987,1372.312108,804.3339081,2776.403474,18.3,NA,453,1019,1108,1219,1116,1172,1109,1225,1209,1210,905,689,768,799,22,6,2,225000,225000,5
Lowell Community Charter Public (District),04560000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13761350.57,822,803,NA,NA,NA,NA,NA,17.1,NA,40,95,94,91,84,87,83,84,76,69,0,0,0,0,0,NA,NA,NA,NA,NA
Lowell Middlesex Academy Charter (District),04580000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2096169.57,74,88,NA,NA,NA,NA,NA,35.2,NA,0,0,0,0,0,0,0,0,0,0,23,20,20,25,0,NA,NA,NA,NA,NA
Ludlow,01610000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46699614.83,2293,2383,10378.28233,566.6219549,1598.779854,1101.056,3340.350841,17.1,NA,49,133,149,151,149,160,168,170,202,209,211,220,210,202,0,9,9,166455,174155,3
Lunenburg,01620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24693509.66,1597,1593,8143.858542,674.4520983,1060.096851,1098.096978,2610.718143,16.3,NA,33,106,105,141,110,111,123,125,141,120,122,113,125,114,4,3,3,160000,160000,2
Lynn,01630000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271404729.5,15727,15587,8405.131925,456.9478738,1103.056127,1465.794208,2998.239372,17.7,NA,180,1086,1088,1189,1221,1210,1184,1138,1211,1208,1160,1318,1286,1064,44,3,3,210000,247000,3
Lynnfield,01640000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37127471,2167,2167,9898.548044,591.6142889,1415.967895,1370.971739,2579.60615,17.3,NA,27,170,161,166,189,157,194,180,162,161,147,139,146,168,0,NA,NA,NA,NA,NA
Ma Academy for Math and Science,04680000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,98,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,50,48,0,NA,NA,NA,NA,NA
Malden,01650000,0.02,0.01,NA,NA,67921.22,69972.44,NA,47471.85,48905.5,NA,95615.56,98503.15,NA,NA,115543089.2,6101,6120,9566.120344,476.6586014,1115.942686,1085.131218,2469.045351,17.6,0.8,217,401,457,446,450,467,470,513,470,490,434,440,445,397,23,4,4,185400,185400,2
Manchester Essex Regional,06980000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27047349.84,1250,1264,NA,NA,NA,NA,NA,18,NA,12,56,78,72,84,86,74,102,113,128,96,117,123,123,0,11,11,204500,NA,5
Mansfield,01670000,0.01,0.02,0.02,NA,71258,68353,75083,46787,47960,48919,107662,110361,112568,NA,67442825.39,3437,3504,10610.19648,400.4737046,1420.971349,1177.681827,3124.736204,15.8,0.7,91,222,211,223,237,243,268,255,283,266,275,307,285,326,12,4,4,177302,179802,3
Map Academy Charter School (District),35170000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2905314.23,223,206,NA,NA,NA,NA,NA,47.6,NA,0,0,0,0,0,0,0,0,0,0,39,51,73,43,0,NA,NA,NA,NA,NA
Marblehead,01680000,NA,0.01,0.01,0.02,NA,69122,70389,NA,53818,54900,NA,93016,94886,NA,55787478.59,2601,2704,10724.21581,411.6535884,1091.613956,1381.769104,3151.841175,22.5,NA,41,136,160,180,190,200,190,202,203,249,225,228,248,247,5,1,1,185000,200000,3
Marblehead Community Charter Public (District),04640000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3672672.57,225,208,NA,NA,NA,NA,NA,24,NA,0,0,0,0,0,50,49,52,32,25,0,0,0,0,0,NA,NA,NA,NA,NA
Marion,01690000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7560587.08,406,396,10784.90237,544.2407535,922.1189065,1089.225178,2688.883529,20.6,NA,13,41,54,59,55,54,60,60,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Marlborough,01700000,NA,0.0075,0.02,0.0225,NA,72831.63,75074,NA,49730,50725,NA,103841,105918,NA,94688521.2,4643,4682,10559.17059,499.3118364,1640.903366,1113.300344,2795.202212,17.3,NA,157,384,421,402,370,387,416,375,368,396,207,277,248,262,12,2,2,161160,161160,5
Marshfield,01710000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63529389.28,3822,3760,10265.16299,432.6083558,1198.056132,999.2993184,1820.022912,18.9,NA,98,244,257,218,252,299,267,291,286,328,262,328,327,303,0,11,6,201758,201758,5
Martha's Vineyard,07000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23257918.65,706,689,NA,NA,NA,NA,NA,22.7,NA,0,0,0,0,0,0,0,0,0,0,165,190,162,168,4,NA,NA,NA,NA,NA
Martha's Vineyard Charter (District),04660000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5495191,165,176,NA,NA,NA,NA,NA,25.6,NA,0,12,13,16,17,11,20,18,14,20,9,5,16,5,0,NA,NA,NA,NA,NA
Martin Luther King Jr. Charter School of Excellence (District),04920000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6729911.07,350,365,NA,NA,NA,NA,NA,12.3,NA,0,66,60,61,59,60,59,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Masconomet,07050000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36275518.51,1642,1684,11250.26703,743.2034713,2019.130376,1508.650314,3437.8314569999998,18.6,NA,0,0,0,0,0,0,0,0,314,262,265,282,279,282,0,9,2,203975,221804,3
Mashpee,01720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33858386.26,1457,1468,10854.11672,806.4103931,1906.840389,2185.92052,3546.028552,15.4,NA,54,93,92,91,105,97,119,119,115,141,95,122,106,119,0,6,6,180179,184038,5
MATCH Charter Public School (District),04690000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27673158,1225,1213,NA,NA,NA,NA,NA,22.3,NA,53,90,95,99,95,96,95,92,96,88,85,83,73,73,0,NA,NA,NA,NA,NA
Mattapoisett,01730000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9315178.6,436,405,11901.01048,649.2230576,1149.391661,1361.343131,4448.104352,16.1,NA,21,48,49,63,54,57,61,52,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Maynard,01740000,NA,0.0175,0.0175,0.0175,NA,72823,74001,NA,45321,46114,NA,101374,103148,NA,28470329.36,1185,1179,11975.93894,628.6655978,962.9814568,1224.609992,3679.962407,19.3,NA,34,79,100,87,110,95,96,74,94,97,69,72,91,79,2,1,1,170000,170000,3
