district_name,district_code,cola_2020_21,cola_2021_22,cola_2022_23,cola_2023_24,salary_avg_2020_21,salary_avg_2021_22,salary_avg_2022_23,upper_left_2020_21,upper_left_2021_22,upper_left_2022_23,lower_right_2020_21,lower_right_2021_22,lower_right_2022_23,total_exp_2021_22,total_exp_2020_21,total_enrollment_2021_22,total_enrollment_2020_21,instructional_services,administration,pupil_services,operations_and_maintenance,insurance_retirement_programs_and_other,disabled_pct,pct_health_insurance_paid,grade_pk,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_sp,years_exp,years_as_super,fy2021_salary,total_comp_pkg,years_current_contract
West Bridgewater,03230000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18885491.62,1379,1374,7562.239652,498.04622,1307.359379,946.6038419,2262.867245,10.6,NA,44,113,91,112,85,104,99,90,115,112,98,103,105,103,0,1,1,162000,163500,3
West Springfield,03320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64979460,3851,3913,9210.2977,311.6098226,1612.209121,988.6235627,2077.110456,18.5,NA,82,260,278,296,274,307,299,298,312,302,315,291,294,288,17,1,1,170000,170000,4
Westborough,03210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68011973.44,3856,3825,10859.63488,417.5744619,1130.349825,1323.27339,2552.941682,16,NA,83,239,264,274,284,297,287,295,289,331,298,268,290,318,8,7,7,190635,198435,4
Westfield,03250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86874264.11,4774,4931,9252.945233,333.3330799,1239.343798,1008.790977,3060.327056,20.4,NA,118,291,335,364,318,359,364,329,384,387,409,409,428,419,17,5,5,159000,0,2
Westford,03260000,0.02,0.02,NA,NA,70781,72199,NA,48223,49300,NA,96554,98485,NA,NA,79266713.4,4668,4714,9529.69417,371.5381276,1367.342604,1171.289124,2308.534783,15.5,NA,45,271,277,307,345,307,383,387,367,380,384,424,390,444,3,16,15,210620,214220,2
Westhampton,03270000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707093.9,103,104,12546.62843,649.3650413,1487.516529,859.7952893,3080.826446,23.1,NA,7,8,12,11,9,19,17,21,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Weston,03300000,0.0225,0.02,NA,NA,82051,83692,NA,55142,56245,NA,116461,118790,NA,NA,56057798.98,1948,1906,15770.11531,811.932501,2167.07122,2216.350994,4983.997346,17,0.5,27,116,128,137,118,137,149,142,147,175,157,148,161,164,0,4,4,226935,226935,3
Westport,03310000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25244752,1430,1355,10281.13344,614.943328,1563.949656,1134.140185,2450.843474,18.6,NA,39,99,100,107,97,108,123,132,106,124,92,71,73,82,2,NA,NA,NA,NA,NA
Westwood,03350000,0.02,0.02,NA,NA,77959,79518,NA,51427,52456,NA,117554,119905,NA,NA,60375039.04,2894,2952,12819.73508,574.134558,1479.22906,2074.798395,2454.171033,18.3,NA,41,203,167,219,219,204,223,249,211,223,243,248,253,246,3,4,4,215378,225378,5
Weymouth,03360000,0.02,0.025,NA,NA,71616.39,73406.8,NA,49815.38,51060.76,NA,99027.26,101502.94,NA,NA,105318636,5560,5585,9679.817122,633.2782321,1817.026047,1061.657212,2869.629372,21.1,NA,120,374,382,377,396,401,408,424,456,434,494,428,437,437,17,5,5,181178,183378,4
